Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Definition,0,file_id,manufacturer,1,,type,1,,product,1,,serial_number,1,,time_created,1,,
Data,0,file_id,manufacturer,"1",,type,"7",,garmin_product,"65534",,serial_number,"1",,time_created,"1067732645",,
Definition,0,file_creator,software_version,1,,hardware_version,1,,,,,,,,,,,
Data,0,file_creator,software_version,"16",,hardware_version,"0",,,,,,,,,,,
Definition,0,schedule,manufacturer,1,,product,1,,type,1,,time_created,1,,scheduled_time,1,,serial_number,1,,completed,1,,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732719",,scheduled_time,"1073113200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1073199600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1073286000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732716",,scheduled_time,"1073372400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1073458800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732655",,scheduled_time,"1073545200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732720",,scheduled_time,"1073718000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732690",,scheduled_time,"1073804400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1073890800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732718",,scheduled_time,"1073977200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1074063600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732660",,scheduled_time,"1074150000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732719",,scheduled_time,"1074322800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1074409200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1074495600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732716",,scheduled_time,"1074582000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1074668400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732655",,scheduled_time,"1074754800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732715",,scheduled_time,"1074927600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732690",,scheduled_time,"1075014000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1075100400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732741",,scheduled_time,"1075186800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732696",,scheduled_time,"1075273200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732658",,scheduled_time,"1075359600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732717",,scheduled_time,"1075532400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732690",,scheduled_time,"1075618800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732690",,scheduled_time,"1075705200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732739",,scheduled_time,"1075791600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732696",,scheduled_time,"1075878000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732663",,scheduled_time,"1075964400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732715",,scheduled_time,"1076137200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1076223600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732690",,scheduled_time,"1076310000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732741",,scheduled_time,"1076396400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732695",,scheduled_time,"1076482800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732660",,scheduled_time,"1076569200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732713",,scheduled_time,"1076742000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732689",,scheduled_time,"1076828400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732690",,scheduled_time,"1076914800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732752",,scheduled_time,"1077001200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732696",,scheduled_time,"1077087600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732661",,scheduled_time,"1077174000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732707",,scheduled_time,"1077346800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732689",,scheduled_time,"1077433200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732689",,scheduled_time,"1077519600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732749",,scheduled_time,"1077606000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732696",,scheduled_time,"1077692400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732665",,scheduled_time,"1077778800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732711",,scheduled_time,"1077951600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732690",,scheduled_time,"1078038000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732690",,scheduled_time,"1078124400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732752",,scheduled_time,"1078210800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732696",,scheduled_time,"1078297200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732663",,scheduled_time,"1078383600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732650",,scheduled_time,"1078556400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732703",,scheduled_time,"1078642800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732689",,scheduled_time,"1078729200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732740",,scheduled_time,"1078815600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732696",,scheduled_time,"1078902000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732668",,scheduled_time,"1078988400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732729",,scheduled_time,"1079157600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732703",,scheduled_time,"1079244000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732689",,scheduled_time,"1079330400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732749",,scheduled_time,"1079416800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732703",,scheduled_time,"1079503200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732748",,scheduled_time,"1079589600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732650",,scheduled_time,"1079762400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732696",,scheduled_time,"1079848800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732689",,scheduled_time,"1079935200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732740",,scheduled_time,"1080021600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732696",,scheduled_time,"1080108000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732681",,scheduled_time,"1080194400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732649",,scheduled_time,"1080367200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732703",,scheduled_time,"1080453600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732692",,scheduled_time,"1080540000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732735",,scheduled_time,"1080626400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732703",,scheduled_time,"1080712800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732671",,scheduled_time,"1080799200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732652",,scheduled_time,"1080972000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732704",,scheduled_time,"1081058400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732692",,scheduled_time,"1081144800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732732",,scheduled_time,"1081231200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732703",,scheduled_time,"1081317600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732685",,scheduled_time,"1081404000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732650",,scheduled_time,"1081576800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732703",,scheduled_time,"1081663200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732689",,scheduled_time,"1081749600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732734",,scheduled_time,"1081836000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732703",,scheduled_time,"1081922400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732670",,scheduled_time,"1082008800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732726",,scheduled_time,"1082181600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732704",,scheduled_time,"1082268000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732692",,scheduled_time,"1082354400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732706",,scheduled_time,"1082440800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732704",,scheduled_time,"1082527200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732680",,scheduled_time,"1082613600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732652",,scheduled_time,"1082786400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732689",,scheduled_time,"1082872800",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732689",,scheduled_time,"1082959200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732706",,scheduled_time,"1083045600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732696",,scheduled_time,"1083132000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732679",,scheduled_time,"1083218400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732715",,scheduled_time,"1083391200",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732690",,scheduled_time,"1083477600",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732687",,scheduled_time,"1083564000",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732718",,scheduled_time,"1083650400",,serial_number,"1",,completed,"0",,
Data,0,schedule,manufacturer,"1",,garmin_product,"65534",,type,"0",,time_created,"1067732697",,scheduled_time,"1083736800",,serial_number,"1",,completed,"0",,
